text,address
"Cleared: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM.",US-231 south    Bay  FL
"Cleared: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM.",  Interstate 10 west Mile Marker 51 Okaloosa  FL
"New: Object on roadway in Okaloosa on I-10 west at MM 51, right lane blocked. Last updated at 04:45:39PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64042",  Interstate 10 west Mile Marker 51 Okaloosa  FL
"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:05:30PM. http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"Updated: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 04:04:42PM. http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"New: Traffic congestion in Bay on US-231 south beyond SR-20, all lanes blocked. Last updated at 03:59:45PM. #fl511 http://fl511.com/EventDetails/District%203-CHP/64035",US-231 south    Bay  FL
"Cleared: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated at 03:27:16AM.",  Interstate 10 east Mile Marker 17 Escambia  FL
"New: Disabled vehicle in Escambia on I-10 east at MM 17 - Escambia Bay Bridge, right lane blocked. Last updated...http://fl511.com/EventDetails/District%203-CHP/63987",  Interstate 10 east Mile Marker 17 Escambia  FL
A Silver Alert has been issued for Hersey Warren out of Hobe Sound. Look for a 2007 Silver Lexus 350 Series FL...http://fl511.com/List/Alerts, Hobe Sound     FL
"Cleared: Unconfirmed flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at 07:12:00AM.",  State Route 20 west  Bay  FL
"Cleared: Unconfirmed flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at 07:11:50AM.",  State Route 20 east  Bay  FL
"Cleared: Disabled vehicle in Santa Rosa on Pensacola Bay Bridge north at Pensacola Bay Bridge, right lane blocked. Last updated at...",    Santa Rosa  FL
"New: Disabled vehicle in Santa Rosa on Pensacola Bay Bridge north at Pensacola Bay Bridge, right lane blocked....http://fl511.com/EventDetails/District%203-CHP/63918",    Santa Rosa  FL
"Updated: Unconfirmed flooding in Bay on SR-20 west at Econfina Creek Bridge, all lanes blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63725",  State Route 20 west  Bay  FL
"Updated: Unconfirmed flooding in Bay on SR-20 east at Econfina Creek Bridge, all lanes blocked. Last updated at...http://fl511.com/EventDetails/District%203-CHP/63724",  State Route 20 east  Bay  FL
"@MyFDOT has reached US 98 in Carrabelle. Crews are currently working to assess, clear, and complete temporary safety repairs to the roadway. This will allow rescue crews to continue to reach those affected by #HurricaneMichael",    clear  FL
