id,tweets,date,location
1229941649750593537,"RT @Earth_Media_: @ClimateDepot @scottpwaldman Marc, how about you &amp; a bunch of your pals to agree to live on a waterfront property on the…",2020-02-19 01:31:55,
1229941041333141505,RT @FLSERT: Recovery Highlight &gt;&gt; The Bay County Private Property Debris Removal Program has officially begun. The program assists property…,2020-02-19 01:29:30,
1229937346650484736,"RT @BreitbartNews: ""If Michael Bloomberg and everyone like Michael Bloomberg and all the companies they created disappeared tomorrow… after…",2020-02-19 01:14:49,
1229935816736215040,"@ClimateDepot @scottpwaldman Marc, how about you &amp; a bunch of your pals to agree to live on a waterfront property o… https://t.co/lSoYEGCkji",2020-02-19 01:08:44,
1229933709375213568,"RT @BBCEarthAsia: Tonight on #HurricaneMan, join the fearless @iCyclone &amp; his team as they continue tracking one of the most powerful hurri…",2020-02-19 01:00:22,
1229922575871905792,"KARL ROVE’s HOUSE
        HURRICANE MICHAEL 

      CLOSE, but no cigar https://t.co/zThX3TA2BP",2020-02-19 00:16:07,
1229911507237867520,"https://t.co/KwlBcE9u3J

https://t.co/YBJ8RPhPvC

https://t.co/SKMQRKEyMW

https://t.co/XyIkvXtPyz… https://t.co/bq3ubWXbSu",2020-02-18 23:32:08,
1229901609938964481,"10 movies to know me: 

- Babygirl 
- The Pianist 
- Apartment 4B (on Netflix) 
- Think Like A Man 
- Hurricane Bia… https://t.co/TM0CLrzLAF",2020-02-18 22:52:48,
1229895750227779586,"RT @NOAADigCoast: The environmental education program at Apalachicola Research Reserve had students plant marsh grass along the shoreline,…",2020-02-18 22:29:31,
1229895265672404993,"RT @Superyachtfan: Pretty photo by Raphael Belly of the @Feadship Hurricane Run

She is owned by Michael Tabor

He has owned several supery…",2020-02-18 22:27:36,
1229894668873293826,.@DougBroxson: @FarmShareFL's Hurricane Michael relief efforts have long-lasting benefits in the #Panhandle… https://t.co/J9ZedP0twN,2020-02-18 22:25:14,
1229894628121419782,.@DougBroxson: @FarmShareFL's Hurricane Michael relief efforts have long-lasting benefits in the #Panhandle… https://t.co/dWlWhgCj0L,2020-02-18 22:25:04,
1229889931130101763,RT @byrondobson: Hurricane Michael funding stalemate could cost timber farmers $100 million https://t.co/GNBLZkpklu via @tdonline,2020-02-18 22:06:24,
